Number,Selected headline,Agent answer,True Answer,correct
71,The new technology improves the glass quality and consistency while increasing throughput .',good,good,True
80,"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",neutral,neutral,True
135,Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .',neutral,good,False
4,"Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase .",neutral,neutral,True
124,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .'",good,good,True
121,"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,neutral,True
82,"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit , effective 1 September .",neutral,neutral,True
106,"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .'",good,good,True
131,"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .'",good,good,True
34,The first group of customers to be trained will be paint-shop owners and their assistants .,neutral,neutral,True
125,Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral,neutral,True
5,The technology park will be built near St. Petersburg-based Pulkovo airport .,neutral,neutral,True
25,The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral,neutral,True
112,"Efore 's presence here also opens up new and interesting development opportunities for our students , '' the dean of the Faculty of Electronics , Communications and Automation at TKK said .'",neutral,good,False
130,News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,neutral,neutral,True
26,"In January-September 2007 , the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 .'",good,good,True
3,"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .",good,neutral,False
21,Componenta will also offer a five-year subordinated loan for subscription by the public .,neutral,neutral,True
126,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",bad,bad,True
86,Net sales have been eaten by the weak US dollar .,bad,bad,True
38,"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products .",neutral,neutral,True
144,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",bad,bad,True
127,"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral,neutral,True
92,"Upon establishment , the plan is directed to approximately 20 persons .",neutral,neutral,True
1,"From 2003 on , the emphasis of Kyro 's strategy has been on Glaston 's growth .",neutral,neutral,True
88,"` After fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said .'",neutral,good,False
79,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .'",good,good,True
28,Finlan 's listed food industry company HKScan Group controlled companies in the Baltics improved revenues by EUR 3.5 mn to EUR 160.4 mn in 2010 from EUR 156.9 mn in the year before .',good,good,True
83,The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,neutral,neutral,True
91,"The solution is demonstrated on a tablet developed by Aava Mobile as a multi-window system , which enables the use of several applications simultaneously , for example the viewing of messages and calendar side by side .",neutral,neutral,True
