Number,Selected headline,Agent answer,True Answer,correct
108,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",neutral,neutral,True
41,"Thanks to its extensive industry and operations experience , Cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services .",neutral,neutral,True
81,"M-real Corporation Stock Exchange Announcement 29 September 2006 at 4.15 p.m. Kyro Corporation and M-real Corporation , a Metsaliitto Group subsidiary , have agreed on an arrangement which gives M-real option to purchase the Kyroskoski natural gas powerplant from Kyro .",neutral,neutral,True
70,He wore a black beanie-type cap and a black jacket .,neutral,neutral,True
119,"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",neutral,neutral,True
2,"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",good,neutral,False
149,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .'",good,good,True
105,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .'",good,good,True
120,"The cosmetics collection includes an eye shadow , face powder , lip gloss , mascara and accessories .",neutral,neutral,True
12,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .",neutral,neutral,True
146,"Nevertheless , Fitch notes that the business fundamentals of the three banks currently remain sound .'",good,good,True
85,"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .'",good,good,True
84,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,good,neutral,False
44,"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,neutral,True
129,"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,neutral,True
33,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+ï¿½o , as saying .",good,good,True
62,Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,neutral,neutral,True
58,"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",neutral,neutral,True
116,EBIT margin was up from 1.4 % to 5.1 % .',good,good,True
24,"With this , the company will exit the contract manufacturing service segment .",neutral,neutral,True
148,"Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor , If P & C Insurance .",neutral,neutral,True
122,"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",bad,neutral,False
16,"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",neutral,neutral,True
49,"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .",neutral,neutral,True
61,The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .',good,good,True
110,"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .'",good,good,True
10,"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of Moscow Station .",neutral,neutral,True
63,"In April 2010 , Olvi 's range of ciders will expand with a strawberry-rhubarb and an apple-pear cider in green bottles with a new shape .",neutral,neutral,True
32,"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .",neutral,neutral,True
128,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .',good,good,True
