Number,Selected headline,Agent answer,True Answer,correct
73,"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .'",good,good,True
93,The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .',neutral,good,False
39,The company closed last year with a turnover of about four million euros .,neutral,neutral,True
9,"The technology will become available to businesses from the fourth quarter , Nokia said .",neutral,neutral,True
101,Performance is based on values and sustainability .,neutral,neutral,True
99,The electricity requirement of networks will grow with the new mobile generation .,neutral,neutral,True
22,A total of $ 78 million will be invested in the project .,good,neutral,False
72,"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",bad,bad,True
60,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .',good,good,True
66,"The market share of Volkswagen passenger cars in Finland was 10.1 percent , Audi had a market share of 3.1 percent and Seat 's share was 0.9 percent .",neutral,neutral,True
133,"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral,neutral,True
109,Export declined by 6 percent to 16.4 million liters .,bad,bad,True
94,4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .,neutral,neutral,True
27,Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .',good,good,True
76,Net sales of Finnish food industry company L+ï¿½nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .',good,good,True
134,The share subscription period will expire on 30 September 2007 .,neutral,neutral,True
140,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .',good,good,True
75,"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral,neutral,True
11,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,neutral,True
89,The operating margin came down to 2.4 % from 5.7 % .,bad,bad,True
30,"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,neutral,True
64,"The second company acquired is Sweden 's Reftele Maskinservice AB , whose business is mainly field services and spare parts manufacturing , with 10 employees and 1.2 mln eur sales a year .",neutral,neutral,True
56,"Press release 9 October 2009 Ruukki has signed a contract to deliver and install the steel structures for a bridge over the Kyronsalmi strait in Savonlinna , Finland .'",good,good,True
96,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,neutral,neutral,True
43,facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,neutral,neutral,True
18,"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .",neutral,neutral,True
40,"The total headcount reduction will be 50 persons , the company said .",bad,bad,True
150,This organization will assume the responsibility for operations in Russia .,neutral,neutral,True
54,"Finland-based international machinery rental company Ramirent Plc ( OMX Helsinki : RMR1V ) said on Friday ( 9 May ) that its president and CEO , Kari Kallio , has informed the board of his intention to retire in year 2009 .",neutral,neutral,True
77,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",bad,bad,True
