Number,Selected headline,Agent answer,True Answer,correct
118,Sales were down 14 per cent in Finland and up 27 per cent abroad where sales were lifted by the strong growth in sales in Russia and Lithuania .,neutral,neutral,True
17,Asian traffic declined by 3.4 per cent .,bad,bad,True
45,Operating profit in the fourth quarter went down to EUR3m from EUR4 .2 m for the corresponding period of 2009 as it included costs of growth projects .,bad,bad,True
113,"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .'",good,good,True
139,Underground parking facilities will also be built on the basement floor .,neutral,neutral,True
100,"The most loyal customers were found in the Bank of +ï¿½land , with an index of 8.0 .'",good,good,True
143,"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,neutral,True
68,"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .'",good,good,True
35,The expansion aims to attract new customers both in Finland and abroad .',good,good,True
31,"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",neutral,neutral,True
59,The agreement includes application maintenance and support services .,neutral,neutral,True
36,"We have also cut our price projections for paper and packaging , '' an analyst with Goldman Sachs said on a note on Monday .",bad,bad,True
78,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral,neutral,True
50,"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",neutral,neutral,True
7,The combined value of the orders is EUR 45mn .,neutral,neutral,True
103,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,neutral,True
138,"It grew in Finland , Norway , Denmark and the Baltic countries .",good,neutral,False
42,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .',good,good,True
111,The sale price was not disclosed .,neutral,neutral,True
23,"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",neutral,neutral,True
20,The transaction is expected to be finalized by Dec 2009 .,neutral,neutral,True
65,The company expects meat purchases to remain at about 8mn kilos in 2011 .,neutral,neutral,True
48,"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services .",neutral,neutral,True
114,Bluewin Security is available as a monthly subscription .,neutral,neutral,True
141,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed .",neutral,neutral,True
15,The new location is n't the only change Wellmont has in store for its air transport service .,good,neutral,False
142,The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,neutral,neutral,True
37,"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . '.'",good,good,True
98,Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation .,neutral,neutral,True
137,"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' .",good,neutral,False
